fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.02,0.9922812581062317
0.0,0.38,0.9022117853164673
0.010416666666666666,0.38,0.9008004665374756
0.010416666666666666,0.44,0.8771387934684753
0.03125,0.44,0.859745979309082
0.03125,0.48,0.8371453285217285
0.041666666666666664,0.48,0.8108364939689636
0.041666666666666664,0.5,0.806370198726654
0.052083333333333336,0.5,0.7987565398216248
0.052083333333333336,0.52,0.774982750415802
0.0625,0.52,0.77256840467453
0.0625,0.6,0.7547686100006104
0.07291666666666667,0.6,0.7541757225990295
0.07291666666666667,0.62,0.7301915287971497
0.09375,0.62,0.711948037147522
0.09375,0.66,0.6860268115997314
0.125,0.66,0.6440794467926025
0.125,0.68,0.6238890886306763
0.15625,0.68,0.5999315977096558
0.15625,0.7,0.5674091577529907
0.17708333333333334,0.7,0.5550145506858826
0.17708333333333334,0.72,0.5457530617713928
0.19791666666666666,0.72,0.5030198693275452
0.19791666666666666,0.76,0.5009917616844177
0.20833333333333334,0.76,0.47063279151916504
0.20833333333333334,0.78,0.46047794818878174
0.21875,0.78,0.4512192904949188
0.21875,0.8,0.4487106204032898
0.2708333333333333,0.8,0.4069899320602417
0.2708333333333333,0.82,0.3922276794910431
0.3125,0.82,0.36036035418510437
0.3125,0.84,0.3495621681213379
0.34375,0.84,0.32912522554397583
0.34375,0.86,0.32063448429107666
0.3645833333333333,0.86,0.2818982005119324
0.3645833333333333,0.88,0.2729794383049011
0.3958333333333333,0.88,0.2427804321050644
0.3958333333333333,0.9,0.2281191647052765
0.46875,0.9,0.19652143120765686
0.46875,0.92,0.17759011685848236
0.5,0.92,0.16623057425022125
0.5,0.96,0.15608493983745575
0.53125,0.96,0.13717862963676453
0.53125,0.98,0.13255831599235535
0.8020833333333334,0.98,0.040552787482738495
0.8020833333333334,1.0,0.035466987639665604
1.0,1.0,0.0030845790170133114
